samp_id,date,DEPARTAMENTO,PROVINCIA,DISTRITO,LOCALIDAD,ESPECIE,RESULTADO.FINAL,PDL,SES_median,SES_mode,lon,lat
2015_2,2015-01-09,AREQUIPA,AREQUIPA,CERCADO,IV CENTENARIO,CAN,NEGATIVO,1.10.60,B,B,-71.5327900852293, -16.4059410338104
2015_3,2015-01-09,AREQUIPA,AREQUIPA,J.L.B. Y R,URB. AGRICULTURA,CAN,NEGATIVO,1.8.92,A,A,-71.5294649580287, -16.4167737329608
2015_4,2015-01-09,AREQUIPA,AREQUIPA,CERCADO,FERROVARIOS,CAN,NEGATIVO,1.8.103,A,A,-71.5411934285228, -16.4152696757411
2015_1,2015-01-13,AREQUIPA,AREQUIPA,C. COLORADO,J.L B Y R,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_8,2015-01-16,AREQUIPA,AREQUIPA,CERCADO,LOS ANGELES,CAN,NEGATIVO,1.27.65,B,B,-71.5365084988741, -16.3999252208348
2015_9,2015-01-16,AREQUIPA,AREQUIPA,CERCADO,LOS ANGELES,CAN,NEGATIVO,1.27.65,B,B,-71.5365084988741, -16.3999252208348
2015_10,2015-01-16,AREQUIPA,AREQUIPA,CERCADO,AV. VENEZUELA,CAN,NEGATIVO,1.27.65,B,B,-71.5365084988741, -16.3999252208348
2015_5,2015-01-16,AREQUIPA,AREQUIPA,CAYMA,CAYMA,CAN,NEGATIVO,1.3.5,B,B,-71.5486269577525, -16.3877358829383
2015_6,2015-01-16,AREQUIPA,AREQUIPA,CAYMA,CAYMA,CAN,NEGATIVO,1.3.5,B,B,-71.5486269577525, -16.3877358829383
2015_7,2015-01-16,AREQUIPA,AREQUIPA,CAYMA,CAYMA,CAN,NEGATIVO,1.3.5,B,B,-71.5486269577525, -16.3877358829383
2015_12,2015-01-23,AREQUIPA,AREQUIPA,CERCADO,GERSA,CAN,NEGATIVO,1.8.102,A,A,-71.531649915856, -16.4131655144495
2015_13,2015-01-23,AREQUIPA,AREQUIPA,CERCADO,GERSA,CAN,NEGATIVO,1.8.102,A,A,-71.531649915856, -16.4131655144495
2015_14,2015-01-23,AREQUIPA,AREQUIPA,CERCADO,GERSA,CAN,NEGATIVO,1.8.102,A,A,-71.531649915856, -16.4131655144495
2015_18,2015-01-30,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_19,2015-01-30,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_20,2015-01-30,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_21,2015-01-30,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_15,2015-01-30,AREQUIPA,AREQUIPA,C. COLORADO,S. R. PACHACUTEC,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_17,2015-01-30,AREQUIPA,AREQUIPA,C. COLORADO,RIO SECO,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_22,2015-01-30,AREQUIPA,AREQUIPA,M. MELGAR,GERSA,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_23,2015-01-30,AREQUIPA,AREQUIPA,M. MELGAR,GERSA,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_24,2015-01-30,AREQUIPA,AREQUIPA,M. MELGAR,GERSA,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_26,2015-02-02,AREQUIPA,AREQUIPA,CERCADO,GERSA,CAN,NEGATIVO,1.8.102,A,A,-71.531649915856, -16.4131655144495
2015_25,2015-02-02,AREQUIPA,AREQUIPA,J.L.B. Y R,LAS ESMERALDAS,CAN,NEGATIVO,1.8.5,C,C,-71.5130994668698, -16.450953244457
2015_27,2015-02-06,AREQUIPA,AREQUIPA,CAYMA,A. ALTA,CAN,NEGATIVO,1.3.36,B,B,-71.5417559370768, -16.3609552525431
2015_28,2015-02-09,AREQUIPA,AREQUIPA,J.L.B. Y R,LAS ESMERALDAS,CAN,NEGATIVO,1.8.5,C,C,-71.5130994668698, -16.450953244457
2015_29,2015-02-09,AREQUIPA,AREQUIPA,C. COLORADO,S. R. PACHACUTEC,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_32,2015-02-13,AREQUIPA,AREQUIPA,CERCADO,GERSA,CAN,NEGATIVO,1.8.102,A,A,-71.531649915856, -16.4131655144495
2015_33,2015-02-13,AREQUIPA,AREQUIPA,CERCADO,GERSA,CAN,NEGATIVO,1.8.102,A,A,-71.531649915856, -16.4131655144495
2015_31,2015-02-13,AREQUIPA,AREQUIPA,PAUCARPATA,AV. KENNEDY,CAN,NEGATIVO,1.13.62,C,C,-71.502227208003, -16.4252634590797
2015_34,2015-02-20,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_35,2015-02-20,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_36,2015-02-20,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_37,2015-02-20,AREQUIPA,AREQUIPA,M. MELGAR,G SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_38,2015-02-20,AREQUIPA,AREQUIPA,M. MELGAR,G SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_40,2015-02-27,AREQUIPA,AREQUIPA,J.L.B. Y R,ADEPA,CAN,NEGATIVO,1.8.90,A,A,-71.5319209034712, -16.417657928741
2015_41,2015-02-27,AREQUIPA,AREQUIPA,J.L.B. Y R,ADEPA,CAN,NEGATIVO,1.8.90,A,A,-71.5319209034712, -16.417657928741
2015_43,2015-03-06,AREQUIPA,AREQUIPA,J.L.B. Y R,ADEPA,CAN,NEGATIVO,1.8.90,A,A,-71.5319209034712, -16.417657928741
2015_44,2015-03-06,AREQUIPA,AREQUIPA,J.L.B. Y R,ADEPA,CAN,NEGATIVO,1.8.90,A,A,-71.5319209034712, -16.417657928741
2015_42,2015-03-06,AREQUIPA,AREQUIPA,TIABAYA,STA. RITA,CAN,NEGATIVO,1.24.6,E,E,-71.5939294288638, -16.4405774618461
2015_50,2015-03-13,AREQUIPA,AREQUIPA,CERCADO,IV CENTENARIO,CAN,NEGATIVO,1.10.60,B,B,-71.5327900852293, -16.4059410338104
2015_51,2015-03-13,AREQUIPA,AREQUIPA,CERCADO,FERROVARIOS,CAN,NEGATIVO,1.8.103,A,A,-71.5411934285228, -16.4152696757411
